Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
5527000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
5577000,000003A1,false,Rx,0,8,C3,FF,FF,CF,3E,00,50,DE,
5627000,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
5677300,000003A1,false,Rx,0,8,C3,FF,FF,AD,3E,00,70,DC,
5727300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
5777100,000003A1,false,Rx,0,8,C3,FF,FF,C5,3E,00,90,14,
5827100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
5877100,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,B0,22,
5927300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
5977100,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,D0,46,
6027300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
6077100,000003A1,false,Rx,0,8,C3,FF,FF,BB,3E,00,F0,6A,
6127300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
6177100,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,10,86,
6227100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
6277100,000003A1,false,Rx,0,8,C3,FF,FF,C7,3E,00,30,B6,
6327100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
6378100,000003A1,false,Rx,0,8,C3,FF,FF,AB,3E,00,50,BA,
6427100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
6477100,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,70,EE,
6527300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
6577100,000003A1,false,Rx,0,8,C3,FF,FF,CF,3E,00,90,1E,
6627100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
6677100,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,B0,26,
6727400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
6777100,000003A1,false,Rx,0,8,C3,FF,FF,B9,3E,00,D0,48,
6827200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
6877400,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,F0,66,
6927400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
6977300,000003A1,false,Rx,0,8,C3,FF,FF,C5,3E,00,10,94,
7027100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
7077400,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,30,A2,
7127400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
7177200,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,50,C6,
7227200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
7277300,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,70,EC,
7327400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
7377300,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,90,00,
7427300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
7477100,000003A1,false,Rx,0,8,C3,FF,FF,C7,3E,00,B0,36,
7527200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
7577200,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,D0,4C,
7627200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
7677300,000003A1,false,Rx,0,8,C3,FF,FF,A7,3E,00,F0,56,
7727400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
7777400,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,10,8E,
7828400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
7877200,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,30,AC,
7927200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
7977400,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,50,CC,
8027200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
8077200,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,70,EE,
8128400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
8177200,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,90,02,
8227200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
8277200,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,B0,2E,
8327200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
8378900,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,D0,42,
8427200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,4C,E2,56,
8477400,000003A1,false,Rx,0,8,C3,FF,FF,AD,3E,00,F0,5C,
8527400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
8577200,000003A1,false,Rx,0,8,C3,FF,FF,BB,3E,00,10,8A,
8627200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
8677400,000003A1,false,Rx,0,8,C3,FF,FF,C7,3E,00,30,B6,
8727200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
8779600,000003A1,false,Rx,0,8,C3,FF,FF,B9,3E,00,50,C8,
8827400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
8877200,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,70,E2,
8927400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
8977300,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,90,0E,
9027200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
9077300,000003A1,false,Rx,0,8,C3,FF,FF,B9,3E,00,B0,28,
9127300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
9178200,000003A1,false,Rx,0,8,C3,FF,FF,C9,3E,00,D0,58,
9227300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
9277200,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,F0,62,
9328200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
9377300,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,10,8E,
9427300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
9477300,000003A1,false,Rx,0,8,C3,FF,FF,AF,3E,00,30,9E,
9528200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
9577300,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,50,C2,
9627300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
9677400,000003A1,false,Rx,0,8,C3,FF,FF,C9,3E,00,70,F8,
9728500,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
9777300,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,90,02,
9827300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
9878500,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,B0,26,
9927300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
9977400,000003A1,false,Rx,0,8,C3,FF,FF,B1,3E,00,D0,40,
10027300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
10077300,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,F0,6E,
10128300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
10177300,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,10,8C,
10228200,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
10277300,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,30,A6,
10327400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
10377400,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,50,CE,
10428300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
10477300,000003A1,false,Rx,0,8,C3,FF,FF,AD,3E,00,70,DC,
10528300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
10578500,000003A1,false,Rx,0,8,C3,FF,FF,B9,3E,00,90,08,
10627400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
10678700,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,B0,22,
10727400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
10777400,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,D0,46,
10827400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
10877400,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,F0,6C,
10928600,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
10978400,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,10,82,
11027400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
11078100,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,30,A6,
11127400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
11178300,000003A1,false,Rx,0,8,C3,FF,FF,AB,3E,00,50,BA,
11228100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
11278600,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,70,E6,
11328400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
11379100,000003A1,false,Rx,0,8,C3,FF,FF,D9,3E,00,90,28,
11428100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
11477400,000003A1,false,Rx,0,8,C3,FF,FF,AD,3E,00,B0,1C,
11528100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
11578400,000003A1,false,Rx,0,8,C3,FF,FF,A1,3E,00,D0,30,
11628600,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
11678500,000003A1,false,Rx,0,8,C3,FF,FF,C7,3E,00,F0,76,
11728400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
11778300,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,10,86,
11828100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
11878300,000003A1,false,Rx,0,8,C3,FF,FF,C7,3E,00,30,B6,
11928100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
11978800,000003A1,false,Rx,0,8,C3,FF,FF,AD,3E,00,50,BC,
12028100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
12078100,000003A1,false,Rx,0,8,C3,FF,FF,B3,3E,00,70,E2,
12128400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
12178300,000003A1,false,Rx,0,8,C3,FF,FF,C3,3E,00,90,12,
12228100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
12278500,000003A1,false,Rx,0,8,C3,FF,FF,A7,3E,00,B0,16,
12328400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
12378800,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,D0,4E,
12428100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
12478300,000003A1,false,Rx,0,8,C3,FF,FF,BB,3E,00,F0,6A,
12528400,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
12578500,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,10,8C,
12628100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
12678500,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,30,AE,
12728100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
12778100,000003A1,false,Rx,0,8,C3,FF,FF,AB,3E,00,50,BA,
12828100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,62,DA,
12878300,000003A1,false,Rx,0,8,C3,FF,FF,B7,3E,00,70,E6,
12928300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,82,FA,
12978300,000003A1,false,Rx,0,8,C3,FF,FF,BD,3E,00,90,0C,
13028300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,A2,1A,
13078300,000003A1,false,Rx,0,8,C3,FF,FF,C9,3E,00,B0,38,
13128100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,C2,3A,
13178300,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,D0,4E,
13228100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,E2,5A,
13278300,000003A1,false,Rx,0,8,C3,FF,FF,A7,3E,00,F0,56,
13328300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,02,7A,
13378600,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,10,8E,
13428100,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,22,9A,
13478300,000003A1,false,Rx,0,8,C3,FF,FF,C5,3E,00,30,B4,
13528300,000003A1,false,Rx,0,8,08,4A,0C,0A,00,50,42,BA,
13578100,000003A1,false,Rx,0,8,C3,FF,FF,BF,3E,00,50,CE,
