51394.6,0x2C1,8,02 19 06 00 00 D0 92 09
51400.5,0x2F1,8,11 54 00 4B 00 6B 0C 00
51409.7,0x201,8,02 00 00 00 00 00 00 00
51414.6,0x2C1,8,B3 1A 98 00 00 00 00 00
51420.8,0x381,8,80 89 07 40 DE 00 A8 15
51434.8,0x201,8,03 00 00 00 00 00 00 00
51435.1,0x2C1,8,04 00 00 00 00 00 00 00
51454.6,0x2C1,8,50 44 FE 00 50 8E 02 00
51457.1,0x281,6,1B 00 FF 1F 00 01
51458.6,0x381,8,81 5D 00 0E 97 94 94 40
51459.7,0x201,8,00 30 4F 19 00 E4 FF 00
51460.1,0x224,8,04 08 00 80 E3 00 10 08
51460.4,0x2B4,6,3B 05 0D 0F FD 00
51463.3,0x29D,4,00 00 00 20
51474.6,0x2C1,8,21 2B 0D 0A 02 00 00 00
51484.6,0x201,8,59 38 98 00 01 00 00 00
51495.5,0x2C1,8,02 19 06 00 00 D0 92 09
51497.1,0x381,8,22 A0 F8 77 41 20 00 00
51500.6,0x2F1,8,32 11 00 00 00 01 00 00
51509.6,0x201,8,02 00 00 00 00 00 00 00
51514.8,0x2C1,8,B3 1A 98 00 00 00 00 00
51534.8,0x201,8,03 00 00 00 00 00 00 00
51535.2,0x2C1,8,04 00 00 00 00 00 00 00
51535.5,0x381,8,A3 30 3E 00 4C 29 04 00
51554.6,0x2C1,8,50 44 FE 00 50 8E 02 00
51557.2,0x281,6,1B 00 FF 1F 00 01
51559.7,0x201,8,00 32 4F 1A 00 E4 FF 00
51560.2,0x224,8,04 08 00 C0 E3 00 10 08
51560.4,0x2B4,6,3A 05 0C 0F FB 00
51563.0,0x29D,4,00 00 00 20
51572.6,0x381,8,04 00 00 00 00 00 00 00
51574.6,0x2C1,8,21 2B 0D 0A 02 00 00 00
51584.6,0x201,8,59 38 98 00 01 00 00 00
51595.2,0x2C1,8,02 19 06 00 00 D0 92 09
51600.6,0x2F1,8,00 91 33 01 43 00 11 00
51609.6,0x201,8,02 00 00 00 00 00 00 00
51610.8,0x381,8,05 00 00 00 80 D9 64 08
51614.6,0x2C1,8,B3 1A 98 00 00 00 00 00
51634.8,0x201,8,03 00 00 00 00 00 00 00
51635.0,0x2C1,8,04 00 00 00 00 00 00 00
51648.8,0x381,8,06 00 00 00 00 00 00 00
51654.6,0x2C1,8,50 44 FE 00 50 8E 02 00
51657.2,0x281,6,1C 00 FF 1F 00 01
51659.8,0x201,8,00 32 4F 1A 00 E4 FF 00
51660.2,0x224,8,04 08 00 80 E3 00 10 08
51660.4,0x2B4,6,3B 05 0D 0F 05 01
51662.7,0x29D,4,00 00 00 20
51669.3,0x333,5,84 0C 2F 07 00
51674.8,0x2C1,8,21 2B 0D 0A 02 00 00 00
51684.6,0x201,8,59 38 98 00 01 00 00 00
51687.4,0x381,8,07 00 00 00 00 00 00 00
51695.1,0x2C1,8,02 19 06 00 00 D0 92 09
51700.6,0x2F1,8,01 91 36 01 43 00 0A 00
51709.6,0x201,8,02 00 00 00 00 00 00 00
51714.6,0x2C1,8,B3 1A 98 00 00 00 00 00
51724.6,0x381,8,08 00 00 00 00 00 00 00
51734.6,0x2C1,8,04 00 00 00 00 00 00 00
51734.8,0x201,8,03 00 00 00 00 00 00 00
51754.9,0x2C1,8,50 44 FE 00 50 8E 02 00
51757.4,0x281,6,1C 00 FF 1F 00 01
51759.7,0x201,8,00 32 4F 1A 00 E4 FF 00
51760.4,0x224,8,04 08 00 A0 E3 00 10 08
51760.6,0x2B4,6,3A 05 0C 0F FA 00
51762.7,0x381,8,09 00 00 00 00 00 00 00
51762.8,0x29D,4,00 00 00 20
51774.6,0x2C1,8,21 2B 0D 0A 02 00 00 00
51784.6,0x201,8,59 38 98 00 01 00 00 00
51794.8,0x2C1,8,02 19 06 00 00 D0 92 09
51800.6,0x2F1,8,02 11 3A 81 42 00 00 00
51801.7,0x381,8,0A 00 00 00 00 00 00 00
51809.6,0x201,8,02 00 00 00 00 00 00 00
51814.6,0x2C1,8,B3 1A 98 00 00 00 00 00
51834.6,0x301,8,0A 01 05 00 04 00 86 00
51834.8,0x201,8,03 00 00 00 00 00 00 00
51835.3,0x2C1,8,04 00 00 00 00 00 00 00
51838.7,0x381,8,0B 00 00 00 00 00 00 00
51854.6,0x2C1,8,50 44 FE 00 50 8E 02 00
51857.2,0x281,6,1C 00 FF 1F 00 01
51859.8,0x201,8,00 32 50 1A 00 E4 FF 00
51860.2,0x2B4,6,3B 05 0C 0F FB 00
51862.3,0x224,8,04 08 00 E0 E3 00 10 08
51862.7,0x29D,4,00 00 00 20
51874.6,0x2C1,8,21 2B 0D 0A 02 00 00 00
51876.6,0x381,8,0C 00 00 00 00 00 00 00
51884.6,0x201,8,59 38 98 00 01 00 00 00
51894.9,0x2C1,8,02 19 06 00 00 D0 92 09
51900.6,0x2F1,8,03 11 35 81 42 00 01 00
51909.6,0x201,8,02 00 00 00 00 00 00 00
51915.1,0x2C1,8,B3 1A 98 00 00 00 00 00
51915.3,0x381,8,0D 00 00 00 00 00 00 00
51934.9,0x201,8,03 00 00 00 00 00 00 00
51935.4,0x2C1,8,04 00 00 00 00 00 00 00
51952.7,0x381,8,0E 00 00 00 00 E0 FF 00
51954.7,0x2C1,8,50 44 FE 00 50 8E 02 00
51957.3,0x281,6,1D 00 FF 1F 00 01
51959.7,0x201,8,00 33 4F 1A 00 E4 FF 00
51960.0,0x224,8,04 08 00 A0 E3 00 10 08
51960.4,0x2B4,6,3A 05 0D 0F FA 00
51963.1,0x29D,4,00 00 00 20
51974.6,0x2C1,8,21 2B 0D 0A 02 00 00 00
51984.9,0x201,8,59 38 98 00 01 00 00 00
